CD,AvgAge,ComplaintCount,name,FIPS,,,
101,10.17,18,"CD101, Manhattan",21,,,
102,7.14,65,"CD102, Manhattan",22,,,
103,12.92,36,"CD103, Manhattan",43,,,
104,17.13,48,"CD104, Manhattan",38,,,
105,8.00,21,"CD105, Manhattan",39,,,
106,4.86,29,"CD106, Manhattan",44,,,
107,9.39,44,"CD107, Manhattan",58,,,
108,17.11,19,"CD108, Manhattan",37,,,
109,6.22,23,"CD109, Manhattan",36,,,
110,17.10,40,"CD110, Manhattan",24,,,
111,36.23,22,"CD111, Manhattan",56,,,
112,31.66,108,"CD112, Manhattan",25,,,
201,34.55,11,"CD201, Bronx",57,,,
202,51.92,12,"CD202, Bronx",2,,,
203,38.12,26,"CD203, Bronx",6,,,
204,38.55,31,"CD204, Bronx",23,,,
205,37.76,29,"CD205, Bronx",33,,,
206,30.33,30,"CD206, Bronx",52,,,
207,30.88,24,"CD207, Bronx",42,,,
208,31.10,20,"CD208, Bronx",14,,,
209,33.46,37,"CD209, Bronx",10,,,
210,14.00,36,"CD210, Bronx",59,,,
211,37.15,34,"CD211, Bronx",49,,,
212,34.47,45,"CD212, Bronx",50,,,
227,118.00,1,"CD227, Bronx",,,,
301,12.52,211,"CD301, Brooklyn",7,,,
302,12.49,137,"CD302, Brooklyn",15,,,
303,22.86,95,"CD303, Brooklyn",40,,,
304,25.77,57,"CD304, Brooklyn",9,,,
305,24.28,128,"CD305, Brooklyn",45,,,
306,11.35,52,"CD306, Brooklyn",3,,,
307,15.32,41,"CD307, Brooklyn",26,,,
308,19.22,83,"CD308, Brooklyn",16,,,
309,20.60,43,"CD309, Brooklyn",47,,,
310,8.91,32,"CD310, Brooklyn",27,,,
311,9.65,34,"CD311, Brooklyn",1,,,
312,12.17,102,"CD312, Brooklyn",28,,,
313,30.58,24,"CD313, Brooklyn",19,,,
314,18.33,39,"CD314, Brooklyn",13,,,
315,15.67,49,"CD315, Brooklyn",20,,,
316,26.71,95,"CD316, Brooklyn",41,,,
317,28.90,98,"CD317, Brooklyn",48,,,
318,17.39,82,"CD318, Brooklyn",35,,,
355,68.33,6,"CD355, Brooklyn",,,,
401,33.30,57,"CD401, Queens",31,,,
402,21.81,32,"CD402, Queens",32,,,
403,16.75,24,"CD403, Queens",11,,,
404,13.30,37,"CD404, Queens",12,,,
405,25.66,47,"CD405, Queens",29,,,
406,55.25,8,"CD406, Queens",30,,,
407,12.21,87,"CD407, Queens",18,,,
408,14.56,77,"CD408, Queens",4,,,
409,24.96,45,"CD409, Queens",46,,,
410,14.23,83,"CD410, Queens",51,,,
411,11.61,31,"CD411, Queens",5,,,
412,21.75,222,"CD412, Queens",8,,,
413,25.95,103,"CD413, Queens",55,,,
414,28.94,80,"CD414, Queens",17,,,
482,8.00,1,"CD482, Queens",,,,
501,38.56,82,"CD501, Staten Island",53,,,
502,26.18,51,"CD502, Staten Island",54,,,
503,48.15,150,"CD503, Staten Island",34,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
